// The testcard read in expects 3 comments line at the start of the file. The format of the files is as follows
// N = number of testcases
// id channel amplitude freq_start freq_stop duration time_a time_b
33
0 1 0.185 0.1 3.0 10.0 0.0 0.0
1 1 0.185 0.1 1.5 5.0 0.0 0.0
2 1 0.185 1.5 3.0 5.0 0.0 0.0
3 1 0.0925 0.1 3.0 10.0 0.0 0.0
4 1 0.0925 0.1 1.5 5.0 0.0 0.0
5 1 0.0925 1.5 3.0 5.0 0.0 0.0
6 1 0.37 0.1 3.0 10.0 0.0 0.0
7 1 0.37 0.1 1.5 5.0 0.0 0.0
8 1 0.37 1.5 3.0 5.0 0.0 0.0
9 2 0.44 0.1 3.0 10.0 0.0 0.0
10 2 0.44 0.1 1.5 5.0 0.0 0.0
11 2 0.44 1.5 3.0 5.0 0.0 0.0
12 2 0.22 0.1 3.0 10.0 0.0 0.0
13 2 0.22 0.1 1.5 5.0 0.0 0.0
14 2 0.22 1.5 3.0 5.0 0.0 0.0
15 2 0.66 0.1 3.0 10.0 0.0 0.0
16 2 0.66 0.1 1.5 5.0 0.0 0.0
17 2 0.66 1.5 3.0 5.0 0.0 0.0
18 2 1.0 0.1 3.0 10.0 0.0 0.0
19 2 1.0 0.1 1.5 5.0 0.0 0.0
20 2 1.0 1.5 3.0 5.0 0.0 0.0
21 3 1.0 0.1 3.0 10.0 0.0 0.0
22 3 1.0 0.1 1.5 5.0 0.0 0.0
23 3 1.0 1.5 3.0 5.0 0.0 0.0
24 3 0.75 0.1 3.0 10.0 0.0 0.0
25 3 0.75 0.1 1.5 5.0 0.0 0.0
26 3 0.75 1.5 3.0 5.0 0.0 0.0
27 4 0.25 0.1 3.0 10.0 0.0 0.0
28 4 0.25 0.1 1.5 5.0 0.0 0.0
29 4 0.25 1.5 3.0 5.0 0.0 0.0
30 4 0.5 0.1 3.0 10.0 0.0 0.0
31 4 0.5 0.1 1.5 5.0 0.0 0.0
32 4 0.5 1.5 3.0 5.0 0.0 0.0
